migration_speed,adhesion_force_other,adhesion_force_pmec_multiple,internal_force,repeat,type,average_speed_x,average_speed_total
0.0005,0.0005,1,0.05,2,Other,0.005521145600573439,0.046286654940586806
0.0005,0.0005,1,0.1,0,PMEC,0.0072316754907722144,0.0675400163175959
0.0005,0.0005,1,0.1,0,VM,0.0,0.0
0.0005,0.0005,1,0.1,0,Other,0.004607548005196031,0.06920092731307038
0.0005,0.0005,1,0.1,1,PMEC,0.007245588706486761,0.06801944890622545
0.0005,0.0005,1,0.1,1,VM,0.0,0.0
0.0005,0.0005,1,0.1,1,Other,0.004514343271314291,0.06905543407606149
0.0005,0.0005,1,0.1,2,PMEC,0.007407696508224091,0.06762142282178488
0.0005,0.0005,1,0.1,2,VM,0.0,0.0
0.0005,0.0005,1,0.1,2,Other,0.00457950940931728,0.0693815647199031
0.0005,0.0005,1.5,0.001,0,PMEC,0.027288269565530522,0.029248562656656322
0.0005,0.0005,1.5,0.001,0,VM,0.0,0.0
0.0005,0.0005,1.5,0.001,0,Other,0.025979558774842097,0.028194429723480102
0.0005,0.0005,1.5,0.001,1,PMEC,0.028696420610412873,0.030591161416578
0.0005,0.0005,1.5,0.001,1,VM,0.0,0.0
0.0005,0.0005,1.5,0.001,1,Other,0.026173942309633602,0.027970926500174156
0.0005,0.0005,1.5,0.001,2,PMEC,0.0259225458012628,0.028001299088940924
0.0005,0.0005,1.5,0.001,2,VM,0.0,0.0
0.0005,0.0005,1.5,0.001,2,Other,0.026552491227310574,0.028532755264606448
0.0005,0.0005,1.5,0.005,0,PMEC,0.027080205116223336,0.03276269757539152
0.0005,0.0005,1.5,0.005,0,VM,0.0,0.0
0.0005,0.0005,1.5,0.005,0,Other,0.02484580809615564,0.031016962684078733
0.0005,0.0005,1.5,0.005,1,PMEC,0.02662762427372953,0.03209290126174515
0.0005,0.0005,1.5,0.005,1,VM,0.0,0.0
0.0005,0.0005,1.5,0.005,1,Other,0.02644894933262083,0.032041562925602306
0.0005,0.0005,1.5,0.005,2,PMEC,0.027370814990538374,0.03250148104415512
0.0005,0.0005,1.5,0.005,2,VM,0.0,0.0
0.0005,0.0005,1.5,0.005,2,Other,0.026340679511843258,0.03209860985690359
0.0005,0.0005,1.5,0.01,0,PMEC,0.02355047631555064,0.03245995791214314
0.0005,0.0005,1.5,0.01,0,VM,0.0,0.0
0.0005,0.0005,1.5,0.01,0,Other,0.021317182689650625,0.0323538021209437
0.0005,0.0005,1.5,0.01,1,PMEC,0.023994581034093448,0.03292613512010149
0.0005,0.0005,1.5,0.01,1,VM,0.0,0.0
0.0005,0.0005,1.5,0.01,1,Other,0.02125708327079871,0.03279990363021497
0.0005,0.0005,1.5,0.01,2,PMEC,0.0227057500551438,0.03222236882756094
0.0005,0.0005,1.5,0.01,2,VM,0.0,0.0
0.0005,0.0005,1.5,0.01,2,Other,0.020487180200248402,0.03219518519382068
0.0005,0.0005,1.5,0.05,0,PMEC,0.010846545070541334,0.04465943371257842
0.0005,0.0005,1.5,0.05,0,VM,0.0,0.0
0.0005,0.0005,1.5,0.05,0,Other,0.006705995434560368,0.04610311589711416
0.0005,0.0005,1.5,0.05,1,PMEC,0.011011600454534736,0.04512577369338132
0.0005,0.0005,1.5,0.05,1,VM,0.0,0.0
0.0005,0.0005,1.5,0.05,1,Other,0.006206814867295964,0.04615570126566267
0.0005,0.0005,1.5,0.05,2,PMEC,0.010658493411362022,0.044296582012965095
0.0005,0.0005,1.5,0.05,2,VM,0.0,0.0
0.0005,0.0005,1.5,0.05,2,Other,0.0066292644206511955,0.046383662629225796
0.0005,0.0005,1.5,0.1,0,PMEC,0.007678878462677125,0.06692398712443083
0.0005,0.0005,1.5,0.1,0,VM,0.0,0.0
0.0005,0.0005,1.5,0.1,0,Other,0.004636428265684741,0.06894415002684073
0.0005,0.0005,1.5,0.1,1,PMEC,0.006546058152216509,0.08554742949125407
0.0005,0.0005,1.5,0.1,1,VM,0.0,0.0
0.0005,0.0005,1.5,0.1,1,Other,0.005878176676430478,0.09117503599769451
0.0005,0.0005,1.5,0.1,2,PMEC,0.0076421338696596956,0.06845008075685766
0.0005,0.0005,1.5,0.1,2,VM,0.0,0.0
0.0005,0.0005,1.5,0.1,2,Other,0.004724312473412748,0.06902195037551716
0.0005,0.0005,2,0.001,0,PMEC,0.027069717730716192,0.029076340120262507
0.0005,0.0005,2,0.001,0,VM,0.0,0.0
0.0005,0.0005,2,0.001,0,Other,0.02645191098160851,0.02821506066408347
0.0005,0.0005,2,0.001,1,PMEC,0.0259105749686234,0.027856958130853104
0.0005,0.0005,2,0.001,1,VM,0.0,0.0
0.0005,0.0005,2,0.001,1,Other,0.026374081270966875,0.028286362412381062
0.0005,0.0005,2,0.001,2,PMEC,0.027227681983136312,0.02926514802110538
0.0005,0.0005,2,0.001,2,VM,0.0,0.0
0.0005,0.0005,2,0.001,2,Other,0.026305581599988644,0.02831065425109439
0.0005,0.0005,2,0.005,0,PMEC,0.02816916942152399,0.03331526476418402
0.0005,0.0005,2,0.005,0,VM,0.0,0.0
0.0005,0.0005,2,0.005,0,Other,0.025718374827757434,0.03167488347933799
0.0005,0.0005,2,0.005,1,PMEC,0.02757225652509544,0.03299292239601641
0.0005,0.0005,2,0.005,1,VM,0.0,0.0
0.0005,0.0005,2,0.005,1,Other,0.025907903684716873,0.0315823212749465
0.0005,0.0005,2,0.005,2,PMEC,0.02704066087438742,0.03248894071545927
0.0005,0.0005,2,0.005,2,VM,0.0,0.0
0.0005,0.0005,2,0.005,2,Other,0.02585323422832545,0.031965987052547995
0.0005,0.0005,2,0.01,0,PMEC,0.02360147066213375,0.03283111225174879
0.0005,0.0005,2,0.01,0,VM,0.0,0.0
0.0005,0.0005,2,0.01,0,Other,0.02066623547002188,0.03266455244918764
0.0005,0.0005,2,0.01,1,PMEC,0.023664837697274253,0.032741553390888224
0.0005,0.0005,2,0.01,1,VM,0.0,0.0
0.0005,0.0005,2,0.01,1,Other,0.021648049290003604,0.032582100916942115
0.0005,0.0005,2,0.01,2,PMEC,0.02382081933133151,0.032147803305730756
0.0005,0.0005,2,0.01,2,VM,0.0,0.0
0.0005,0.0005,2,0.01,2,Other,0.02107066686904465,0.03205508371502778
0.0005,0.0005,2,0.05,0,PMEC,0.01261079433345063,0.04480600578865787
0.0005,0.0005,2,0.05,0,VM,0.0,0.0
0.0005,0.0005,2,0.05,0,Other,0.0063586201259999975,0.04600265119146125
0.0005,0.0005,2,0.05,1,PMEC,0.011542447942434808,0.044462680392034215
0.0005,0.0005,2,0.05,1,VM,0.0,0.0
0.0005,0.0005,2,0.05,1,Other,0.0066639641756891105,0.04616402383596844
0.0005,0.0005,2,0.05,2,PMEC,0.011312993585214395,0.044782367258584956
0.0005,0.0005,2,0.05,2,VM,0.0,0.0
0.0005,0.0005,2,0.05,2,Other,0.006408470694621779,0.04616578925148921
0.0005,0.0005,2,0.1,0,PMEC,0.006502379666973668,0.06739948069225384
0.0005,0.0005,2,0.1,0,VM,0.0,0.0
0.0005,0.0005,2,0.1,0,Other,0.005008357980991165,0.06963401562970199
0.0005,0.0005,2,0.1,1,PMEC,0.007773997383154229,0.06708147886670347
0.0005,0.0005,2,0.1,1,VM,0.0,0.0
0.0005,0.0005,2,0.1,1,Other,0.0041479627697019305,0.0693301005456571
0.0005,0.0005,2,0.1,2,PMEC,0.007923244023409843,0.06732301299364495
0.0005,0.0005,2,0.1,2,VM,0.0,0.0
0.0005,0.0005,2,0.1,2,Other,0.004715246196026088,0.0688549863052238
0.0005,0.001,0.75,0.001,0,PMEC,0.025281198463016855,0.02748043130424266
0.0005,0.001,0.75,0.001,0,VM,0.0,0.0
0.0005,0.001,0.75,0.001,0,Other,0.024434955160693547,0.02646344933237958
0.0005,0.001,0.75,0.001,1,PMEC,0.02720967664812103,0.029351730480725254
0.0005,0.001,0.75,0.001,1,VM,0.0,0.0
0.0005,0.001,0.75,0.001,1,Other,0.02533779555721585,0.02719965021792023
0.0005,0.001,0.75,0.001,2,PMEC,0.026853453047836765,0.02901330380768295
